Variable,,
"Age, years (SD)",,48.9 (9.54)
"  Male gender, n (%)",,9 (30)
BMI at enrollment (SD),Mean,32.48 (4.59)
,Range,25-41.2
"Race, n (%)",,
,White,21 (70)
,Non-White,9 (30)
"Marital status, n (%)",,
,Married,8 (26.7)
,Divorced/Separated,8 (26.7)
,Single (never married),8 (26.7)
,Living with partner,3 (10)
,Widowed,1 (3.3)
,No response,2 (6.7)
"Education, n (%)",,
,12 years or completed high school or GED,5 (16.7)
,Some college,5 (16.7)
,College graduate,9 (30)
,Post high school,2 (6.7)
,Post Graduate,2 (6.7)
,Less than high school,3 (10)
,Unknown,4 (13.3)
"Employment status, n (%)",,
,Employed/self employed,15 (50)
,Disabled,5 (16.7)
,Unemployed,5 (16.7)
,Student,1 (3.3)
,Retired,1 (3.3)
,Unknown,3 (10)
